Beef Brazil LUC Intensity LUC Intensity (tCO2e/t);101,7001155
Beef Canada LUC Intensity (tCO2e/t);1,37002791
Beef Central America LUC Intensity (tCO2e/t);19,83913299
Beef Central Asia LUC Intensity (tCO2e/t);39,527955
Beef Central Europe LUC Intensity (tCO2e/t);7,459911992
Beef China Region LUC Intensity (tCO2e/t);0,733081571
Beef Eastern Africa LUC Intensity (tCO2e/t);6,405741444
Beef India LUC Intensity (tCO2e/t);0,744085279
Beef Indonesia Region LUC Intensity (tCO2e/t);61,99001897
Beef Japan LUC Intensity (tCO2e/t);5,16803856
Beef Korea LUC Intensity (tCO2e/t);25,26647159
Beef Mexico LUC Intensity (tCO2e/t);57,79421837
Beef Middle East LUC Intensity (tCO2e/t);4,262554238
Beef Northern Africa LUC Intensity (tCO2e/t);3,097920424
Beef Oceania LUC Intensity (tCO2e/t);9,68609353
Beef Rest of South America LUC Intensity (tCO2e/t);24,28098534
Beef Rest of South Asia LUC Intensity (tCO2e/t);17,3538633
Beef Rest of Southern Africa LUC Intensity (tCO2e/t);9,457818756
Beef Russia Region LUC Intensity (tCO2e/t);24,95806172
Beef South Africa LUC Intensity (tCO2e/t);6,469532323
Beef Southeast Asia LUC Intensity (tCO2e/t);45,67465322
Beef Turkey LUC Intensity (tCO2e/t);3,297639508
Beef Ukraine Region LUC Intensity (tCO2e/t);1,498478378
Beef USA LUC Intensity (tCO2e/t);8,084451912
Beef Western Africa LUC Intensity (tCO2e/t);28,4209899
Beef Western Europe LUC Intensity (tCO2e/t);10,18503554
Beef World LUC Intensity (tCO2e/t);25,80514382
Chicken Brazil LUC Intensity (tCO2e/t);9,768619982
Chicken Canada LUC Intensity (tCO2e/t);1,168880895
Chicken Central America LUC Intensity (tCO2e/t);8,962678592
Chicken Central Asia LUC Intensity (tCO2e/t);1,292350653
Chicken Central Europe LUC Intensity (tCO2e/t);1,300771158
Chicken China Region LUC Intensity (tCO2e/t);0,186636817
Chicken Eastern Africa LUC Intensity (tCO2e/t);2,814882035
Chicken India LUC Intensity (tCO2e/t);0,334642839
Chicken Indonesia Region LUC Intensity (tCO2e/t);18,35602603
Chicken Japan LUC Intensity (tCO2e/t);3,985600637
Chicken Korea LUC Intensity (tCO2e/t);7,403275098
Chicken Mexico LUC Intensity (tCO2e/t);6,201627619
Chicken Middle East LUC Intensity (tCO2e/t);0,772497103
Chicken Northern Africa LUC Intensity (tCO2e/t);1,094861694
Chicken Oceania LUC Intensity (tCO2e/t);5,534120665
Chicken Rest of South America LUC Intensity (tCO2e/t);3,964871556
Chicken Rest of South Asia LUC Intensity (tCO2e/t);3,16455801
Chicken Rest of Southern Africa LUC Intensity (tCO2e/t);16,82554275
Chicken Russia Region LUC Intensity (tCO2e/t);6,579740826
Chicken South Africa LUC Intensity (tCO2e/t);0,835105158
Chicken Southeast Asia LUC Intensity (tCO2e/t);13,90020215
Chicken Turkey LUC Intensity (tCO2e/t);0,754755226
Chicken Ukraine Region LUC Intensity (tCO2e/t);0,314496298
Chicken USA LUC Intensity (tCO2e/t);0,437588457
Chicken Western Africa LUC Intensity (tCO2e/t);13,29799513
Chicken Western Europe LUC Intensity (tCO2e/t);2,516279142
Chicken World LUC Intensity (tCO2e/t);3,098072032
Dairy Brazil LUC Intensity (tCO2e/t);2,506500937
Dairy Canada LUC Intensity (tCO2e/t);0,06531773
Dairy Central America LUC Intensity (tCO2e/t);0,436901145
Dairy Central Asia LUC Intensity (tCO2e/t);1,326190909
Dairy Central Europe LUC Intensity (tCO2e/t);0,34019146
Dairy China Region LUC Intensity (tCO2e/t);0,027612528
Dairy Eastern Africa LUC Intensity (tCO2e/t);0,591237492
Dairy India LUC Intensity (tCO2e/t);0,022779651
Dairy Indonesia Region LUC Intensity (tCO2e/t);1,573018521
Dairy Japan LUC Intensity (tCO2e/t);0,142252455
Dairy Korea LUC Intensity (tCO2e/t);0,789982187
Dairy Mexico LUC Intensity (tCO2e/t);1,85781214
Dairy Middle East LUC Intensity (tCO2e/t);0,167962547
Dairy Northern Africa LUC Intensity (tCO2e/t);0,11877899
Dairy Oceania LUC Intensity (tCO2e/t);0,447244059
Dairy Rest of South America LUC Intensity (tCO2e/t);0,609578517
Dairy Rest of South Asia LUC Intensity (tCO2e/t);0,405333456
Dairy Rest of Southern Africa LUC Intensity (tCO2e/t);0,881922203
Dairy Russia Region LUC Intensity (tCO2e/t);1,693584629
Dairy South Africa LUC Intensity (tCO2e/t);0,084456323
Dairy Southeast Asia LUC Intensity (tCO2e/t);1,27051001
